sample_id,setup,mae,sharp_f0,sharp_f15,sharp_ratio,sharp_mean
sample_000098,A,0.1897169202566146,277.96764998376364,200.69004735708234,0.7219906610312561,183.1228552511474
sample_000099,A,0.3889376223087311,189.2327077746019,141.6258879750967,0.7484218222136818,192.74937712284736
sample_000100,A,0.3943897783756256,243.50355828698721,164.90517953779545,0.6772187671419665,175.84699324958257
sample_000101,A,0.4468789398670196,274.85250854458656,189.95939534291625,0.6911321142703016,164.09318512554512
sample_000102,A,0.3897375166416168,218.02620408773427,185.70417608678343,0.8517516362943952,205.26253980271983
sample_000103,A,0.5694047212600708,297.84447874888775,166.21725135430697,0.558067257289817,184.07728364104406
sample_000104,A,0.473156064748764,248.75229091405868,145.54361824020742,0.5850945842765775,140.9406476489268
sample_000105,A,0.491260290145874,234.37525575622914,170.12810425128788,0.7258791193735744,180.69606017642423
sample_000106,A,0.6171568036079407,253.61763272043316,152.57724962051958,0.6016034767925934,168.3116604291764
sample_000107,A,0.4945676326751709,287.10532800402495,195.45351318117233,0.6807728527365826,188.5006993630459
sample_000108,A,0.4810942709445953,209.94542812347407,147.72905850168317,0.7036545631029416,153.5626473930222
sample_000109,A,0.5939083695411682,203.2770319431648,115.2552781008184,0.5669862305596983,152.55869923983
sample_000110,A,0.7648827433586121,238.77945808913552,140.78404384613032,0.5895986404055584,166.7162816044595
sample_000111,A,0.3946165144443512,276.14625726994126,128.36955550178885,0.46486074723911164,155.1265342676989
sample_000112,A,0.8000020980834961,222.57662329658865,169.86286837961524,0.7631658071893243,139.2935105414968
sample_000113,A,0.5556482672691345,205.93889516737312,162.89355077683922,0.7909800168853505,152.99705869238824
sample_000114,A,0.8179690837860107,258.92397917773576,184.35472610235215,0.712003294124426,190.62090269504816
sample_000115,A,0.3421841859817505,191.5825742750987,134.38257215317338,0.7014342126972871,151.10263172216713
sample_000116,A,0.6369950175285339,303.3359981918335,221.57256253805014,0.7304525801712624,203.2245602749125
sample_000117,A,0.3856583535671234,230.6437742517888,86.64770585164428,0.3756776272532414,116.94434359634761
sample_000118,A,0.5758838057518005,291.3329459285736,201.21161490079018,0.6906586354641862,196.90785961657295
sample_000119,A,0.6504607796669006,282.8311962360143,192.15327374037355,0.6793920766082229,224.07588520761345
sample_000120,A,0.3778425753116607,235.917020509243,123.68578063011168,0.524276630669239,138.7127651627944
sample_000121,A,0.7093455195426941,277.0660152958333,140.68013615548608,0.5077495195694675,192.0723460538406
sample_000122,A,0.6820315718650818,221.6500487560034,139.42413768228144,0.6290282292505254,152.38142425139665
sample_000123,A,0.2759993076324463,259.72533550556756,138.40461823567748,0.5328883990707584,160.98299674282782
sample_000124,A,0.6893293857574463,203.42844557728625,150.7333651026711,0.7409650340438977,181.67490132930226
sample_000125,A,0.3743607997894287,225.11326050128787,115.45683423146606,0.5128833102695234,144.0212186826044
sample_000126,A,0.8075016140937805,196.99949249491095,130.6700376939401,0.6633013925013825,160.63127468114254
sample_000127,A,0.5474795699119568,235.97617164835333,106.64158626344053,0.45191675718154944,130.1630846779165
sample_000128,A,0.6048082709312439,196.23046645879748,129.6397730081901,0.6606505877893868,167.81882301965263
sample_000129,A,0.5593968629837036,163.63239630699155,136.27429547961802,0.832807552509059,139.41820530284895
sample_000130,A,0.1916212290525436,183.88556687295437,191.09555644750594,1.0392091108462738,155.1814606981585
sample_000131,A,0.6784977912902832,182.66923807725306,153.2286487483978,0.838831159319751,179.91753313433378
sample_000132,A,0.4193502962589264,363.84286336299033,184.06669521093366,0.505896126447582,242.71777810465545
sample_000133,A,0.904581606388092,197.39463950451463,151.81371414061638,0.7690873192994901,172.5016379242018
sample_000134,A,0.5116553902626038,237.4516113066673,127.08111414179209,0.5351874154168935,141.5116727466276
sample_000135,A,0.1946379393339157,270.39340413864704,191.244927216731,0.7072839954286317,203.87729695334798
sample_000136,A,1.025845646858215,209.03128959354012,136.53516747936607,0.6531805250058866,170.43906059880044
sample_000137,A,0.4098100662231445,235.25604212269187,107.14671131070705,0.4554472239859726,136.59588459161108
sample_000138,A,0.964378833770752,352.0754700446129,121.06031238421797,0.3438476198551348,173.1587747215666
