tier,sample,dino_pf,dino_flat,video,action,total_pf,total_flat,seed
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000022__t0022,0.6284457542893678,0.6266471777733871,0.2655586409465974,0.585421085357666,0.502369752713856,0.5018301797590617,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000023__t0051,0.616916620384746,0.6144269520233722,0.3127960887147489,0.5341460108757019,0.4925722170801292,0.4918253165717171,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000024__t0019,0.5791223585276608,0.5777044023306587,0.2769397634104507,0.6390162110328674,0.5124251209945805,0.5119997341354798,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000025__t0004,0.6270430124620093,0.6276917520717284,0.2506127041619478,0.6367031931877136,0.5179779922622725,0.5181726141451883,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000026__t0004,0.6157037274539409,0.6135558245765587,0.2343143255589772,0.5308980941772461,0.4673646535747738,0.4667202827115592,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000027__t0006,0.640266289420085,0.6397165888016362,0.2513544458302772,0.4993135929107666,0.4672116577394153,0.4670467475538806,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000028__t0011,0.6312567800427644,0.6315486092892606,0.2985366635645012,0.4856224954128265,0.4731870312473103,0.4732745800212591,0
unseen_cousin,unseen_cousin__aractingi__push_cube_offline_data__ep000029__t0002,0.6139277350416332,0.6141475007288256,0.3139695091193178,0.787705659866333,0.5934514371948185,0.5935173669009763,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000000__t0043,0.3690092562009367,0.3690984718519526,0.1418743012659575,1.0451935529708862,0.5713424884284228,0.5713692531237275,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000001__t0021,0.3568422647288154,0.356965987981767,0.1319634294908346,1.1672232151031494,0.6135309943071547,0.6135681112830402,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000002__t0030,0.5769831733716395,0.5792833551334824,0.1854896658863534,1.2684119939804075,0.7361066493695609,0.7367967038981138,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000003__t0035,0.4731292503716477,0.4726970634614833,0.1712078623251131,1.0029085874557495,0.5944645687913281,0.5943349127182788,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000004__t0006,0.4432938321911877,0.4431344308117763,0.1417528291703977,0.995080292224884,0.5735461152984294,0.5734982948846059,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000005__t0022,0.4043520202532074,0.404898090358052,0.1269193906072901,1.126525640487671,0.6099916794532176,0.610155500484671,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000006__t0027,0.5613911141446872,0.5615785054938736,0.1453759307788454,1.0217864513397217,0.6207446940129485,0.6208009114177044,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000007__t0020,0.5869723027286324,0.5850577199627955,0.2215872804099172,1.0278794765472412,0.6537196655604613,0.6531452907307104,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000008__t0039,0.6086614556386447,0.607191712076444,0.1794236979695699,1.232909917831421,0.7295895132150327,0.7291485901463726,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000009__t0040,0.6492132037157123,0.6500351253202199,0.1731625866098817,0.9726168513298036,0.6357594776295996,0.6360060541109519,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000010__t0013,0.460722914577007,0.4619166797732865,0.1883092080845326,1.0400975942611694,0.6107486745029297,0.6111068040618136,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000011__t0035,0.6746663837937747,0.6715336940486918,0.1724067115867127,1.322102427482605,0.7829628996071882,0.7820230926836633,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000012__t0030,0.5721329454075728,0.5674161551285397,0.1767403886073328,1.1204208135604858,0.6728303256286661,0.6714152885449561,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000013__t0028,0.4543464039481992,0.4509703804103202,0.1689952684651328,1.069913029670715,0.6149677135922857,0.613954906530922,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000014__t0033,0.5873191257798882,0.5871250710415398,0.2193180936733038,1.236781358718872,0.7367037093235065,0.7366454929020019,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000015__t0016,0.3600046587231635,0.3600858845712931,0.1772412248674275,1.0732169151306152,0.5904605311294234,0.5904848988838624,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000016__t0003,0.3634576101169963,0.3637283320999351,0.1479799706573018,1.1352964639663696,0.6075498598188374,0.6076310764137189,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000017__t0035,0.5717619322028374,0.5689675682948389,0.1621197567743784,1.1881959438323977,0.6954428842261238,0.6946045750537242,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000018__t0000,0.3643899760286871,0.3644080972080796,0.1471696267532517,1.1912626028060913,0.6299729219570182,0.6299783583108359,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000019__t0005,0.4404652076773044,0.4407123461516642,0.1860647053395868,0.8423570990562439,0.5249018135275649,0.5249759550698729,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000020__t0025,0.5527509820054426,0.5490455919761098,0.156903855663777,1.3010162115097046,0.7333029359046477,0.7321913188958479,0
