tier,sample,dino_pf,dino_flat,video,action,total_pf,total_flat,crf
unseen_cousin,unseen_cousin__frk2__so100large__ep000041__t0031,0.1807132204641428,0.1814264329900748,0.0647858213108955,1.2843247652053833,0.5873796186146648,0.5875935823724444,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000042__t0006,0.1709816418553419,0.1712976309140251,0.086067678301328,1.2590217590332031,0.5807234996602822,0.5808182963778872,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000043__t0019,0.065368469324664,0.0647573452243797,0.0738672639258746,1.059099555015564,0.4654105419813872,0.4652272047513019,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000044__t0035,0.0850816333826748,0.08458753191664,0.0334184656245785,1.4777355194091797,0.626644237465848,0.6264960070260375,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000045__t0018,0.0929844355257204,0.0947360338714681,0.0569787276451966,1.2037737369537354,0.5264984437327693,0.5270239232364936,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000046__t0007,0.0304126707159897,0.0304801765339997,0.0315221365941272,1.1502279043197632,0.4786716039209404,0.4786918556663434,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000047__t0035,0.0031234096336358,0.003124424200132,0.003634824754501,1.3212403059005735,0.5305235926766705,0.5305238970466194,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000048__t0021,0.0336846172032662,0.0338414110001354,0.0746613651594335,1.579321265220642,0.6642323007970669,0.6642793389361277,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000049__t0034,0.1617323865491034,0.1624523578592858,0.0848634242048645,0.7172951698303223,0.3608968111583193,0.361112802551374,0
unseen_general,unseen_general__CSCSXX__pick_place_cube_1.18__ep000000__t0006,0.1678724951989846,0.1672575474457436,0.1249366040111001,0.78700852394104,0.4026461393394415,0.4024616550134692,0
unseen_general,unseen_general__CSCSXX__pick_place_cube_1.18__ep000001__t0038,0.1487563358415101,0.1491081252470465,0.1327828931938161,1.340141773223877,0.6205184780001487,0.6206240148218096,0
unseen_general,unseen_general__CSCSXX__pick_place_cube_1.18__ep000002__t0035,0.1803525766727728,0.180413622564291,0.137140167264947,1.1745003461837769,0.5650479616548267,0.5650662754222822,0
unseen_general,unseen_general__CSCSXX__pick_place_cube_1.18__ep000003__t0037,0.0851213368491671,0.0852755146931911,0.1071011712210954,1.2483638525009155,0.557012293421445,0.5570585467746522,0
unseen_general,unseen_general__CSCSXX__pick_place_cube_1.18__ep000004__t0018,0.1212050793925282,0.1205293664507141,0.1474887077660679,1.0646532773971558,0.5064694471064412,0.5062667332238969,0
unseen_general,unseen_general__CSCSXX__pick_place_cube_1.18__ep000005__t0028,0.2270772327254367,0.2255433735399493,0.1201294465643803,0.8667550086975098,0.450864007265949,0.4504038495103028,0
