sample_id,seed,action_mae
sample_000155,3,0.5599235892295837
sample_000163,3,0.8518767952919006
sample_000170,3,0.7800385355949402
sample_000177,3,0.8668738007545471
sample_000185,3,0.91783207654953
sample_000192,3,0.37885284423828125
sample_000200,3,0.708541214466095
sample_000207,3,0.8529288172721863
sample_000215,3,0.3420235812664032
sample_000000,4,0.23223276436328888
sample_000007,4,0.5057647228240967
sample_000014,4,0.8238592147827148
sample_000022,4,0.5227906703948975
sample_000029,4,0.8646963238716125
sample_000037,4,0.4609864056110382
sample_000044,4,0.31926217675209045
sample_000051,4,0.35032305121421814
sample_000059,4,0.8949245810508728
sample_000066,4,0.34190046787261963
sample_000074,4,0.7298076748847961
sample_000081,4,0.41983863711357117
sample_000088,4,0.6737632155418396
sample_000096,4,0.3291015326976776
sample_000103,4,0.5532290935516357
sample_000111,4,0.5243876576423645
sample_000118,4,0.6211087703704834
sample_000126,4,0.8950143456459045
sample_000133,4,0.7162513732910156
sample_000140,4,0.26609212160110474
sample_000148,4,0.5789315104484558
sample_000155,4,0.6950531601905823
sample_000163,4,0.8568729758262634
sample_000170,4,0.6844380497932434
sample_000177,4,0.8101842999458313
sample_000185,4,1.0096379518508911
sample_000192,4,0.5429163575172424
sample_000200,4,0.6974707245826721
sample_000207,4,0.8068203926086426
sample_000215,4,0.8662661910057068
sample_000000,5,0.26335471868515015
sample_000007,5,0.4728683531284332
sample_000014,5,0.4362405836582184
sample_000022,5,0.36125636100769043
sample_000029,5,0.9968684315681458
sample_000037,5,0.38567814230918884
sample_000044,5,0.1673596054315567
sample_000051,5,0.12607818841934204
sample_000059,5,0.7486955523490906
sample_000066,5,0.4130174219608307
sample_000074,5,0.6697030067443848
sample_000081,5,0.24652330577373505
sample_000088,5,0.6690347194671631
sample_000096,5,0.4237827956676483
sample_000103,5,0.670429527759552
sample_000111,5,0.6346556544303894
sample_000118,5,0.6894256472587585
sample_000126,5,0.6500667333602905
sample_000133,5,0.8210826516151428
sample_000140,5,0.21963529288768768
sample_000148,5,0.5401495099067688
sample_000155,5,0.5611029267311096
sample_000163,5,0.7277002930641174
sample_000170,5,0.8502278923988342
sample_000177,5,0.8627409934997559
sample_000185,5,0.9423269629478455
sample_000192,5,0.6360926628112793
sample_000200,5,0.688657820224762
sample_000207,5,0.917496919631958
sample_000215,5,0.7429022192955017
sample_000000,6,0.3861127197742462
sample_000007,6,0.3114951252937317
sample_000014,6,0.6889755129814148
sample_000022,6,0.6062484383583069
sample_000029,6,0.8210294842720032
sample_000037,6,0.4877333641052246
sample_000044,6,0.48025134205818176
sample_000051,6,0.24728089570999146
sample_000059,6,0.6881594657897949
sample_000066,6,0.3803671598434448
sample_000074,6,0.725473165512085
sample_000081,6,0.3570930063724518
sample_000088,6,0.6879709362983704
sample_000096,6,0.2625752389431
sample_000103,6,0.5021060109138489
sample_000111,6,0.22265057265758514
sample_000118,6,0.6384015679359436
sample_000126,6,0.7138690948486328
sample_000133,6,0.8047196269035339
sample_000140,6,0.282595694065094
sample_000148,6,0.5417689681053162
sample_000155,6,0.5004517436027527
sample_000163,6,0.8000538349151611
sample_000170,6,0.6728599667549133
sample_000177,6,0.9854132533073425
sample_000185,6,1.1778374910354614
sample_000192,6,0.8217690587043762
sample_000200,6,0.9365972876548767
sample_000207,6,0.7375273108482361
sample_000215,6,0.4107762277126312
sample_000000,7,0.43690621852874756
sample_000007,7,0.5341548323631287
sample_000014,7,0.8344444632530212
sample_000022,7,0.48456668853759766
sample_000029,7,0.8933814167976379
sample_000037,7,0.53913813829422
sample_000044,7,0.3155635595321655
sample_000051,7,0.1663910299539566
sample_000059,7,0.7055568695068359
sample_000066,7,0.380967378616333
sample_000074,7,0.6907350420951843
sample_000081,7,0.48583415150642395
sample_000088,7,0.6067290902137756
sample_000096,7,0.4566093385219574
sample_000103,7,0.569230854511261
sample_000111,7,0.5744056105613708
sample_000118,7,0.3727013170719147
sample_000126,7,0.554800271987915
sample_000133,7,0.778242290019989
sample_000140,7,0.2512224018573761
sample_000148,7,0.4239199161529541
sample_000155,7,0.8074660301208496
sample_000163,7,0.8179342746734619
sample_000170,7,0.7849111557006836
sample_000177,7,0.8630085587501526
sample_000185,7,1.0274308919906616
sample_000192,7,0.6047040820121765
sample_000200,7,0.8364665508270264
sample_000207,7,0.7747581005096436
sample_000215,7,0.548000156879425
